,"_county_code","_total_county","_total_healed","_total_dead","_county","date","lat","long"
0,"AB",309,22,17,"Alba",2020-05-18,46.066667,23.583333
1,"AR",589,1,74,"Arad",2020-05-18,46.183333,21.316667
2,"AG",259,0,20,"Argeş",2020-05-18,44.85,24.866667
3,"BC",430,0,49,"Bacău",2020-05-18,46.566667,26.9
4,"BH",504,0,19,"Bihor",2020-05-18,47.066667,21.933333
5,"BN",290,0,24,"Bistriţa-Năsăud",2020-05-18,47.133333,24.483333
6,"BT",634,0,42,"Botoşani",2020-05-18,47.75,26.666667
7,"BV",555,0,41,"Braşov",2020-05-18,45.633333,25.583333
8,"BR",20,0,0,"Brăila",2020-05-18,45.266667,27.983333
9,"B",1332,3,74,"Bucureşti",2020-05-18,44.433333,26.1
10,"BZ",119,0,0,"Buzău",2020-05-18,45.15,26.833333
11,"CS",103,4,6,"Caraş-Severin",2020-05-18,45.300833,21.889167
12,"CJ",455,1,15,"Cluj",2020-05-18,46.766667,23.6
13,"CT",210,2,15,"Constanţa",2020-05-18,44.183333,28.65
14,"CV",214,0,9,"Covasna",2020-05-18,45.866667,25.783333
15,"CL",70,0,3,"Călăraşi",2020-05-18,44.2,27.333333
16,"DJ",150,0,3,"Dolj",2020-05-18,44.316667,23.8
17,"DB",254,6,10,"Dâmboviţa",2020-05-18,44.933333,25.45
18,"GL",494,0,81,"Galaţi",2020-05-18,45.45,28.05
19,"GR",187,0,4,"Giurgiu",2020-05-18,43.883333,25.966667
20,"GJ",99,1,7,"Gorj",2020-05-18,45.05,23.283333
21,"HR",68,0,0,"Harghita",2020-05-18,46.35,25.8
22,"HD",595,3,68,"Hunedoara",2020-05-18,45.883333,22.9
23,"IL",316,0,20,"Ialomiţa",2020-05-18,44.566667,27.366667
24,"IS",386,1,26,"Iaşi",2020-05-18,47.166667,27.6
27,"MM",68,1,3,"Maramureş",2020-05-18,47.666667,23.583333
28,"MH",94,0,12,"Mehedinţi",2020-05-18,44.631944,22.656111
29,"MS",632,0,61,"Mureş",2020-05-18,46.55,24.566667
30,"NT",787,0,44,"Neamţ",2020-05-18,46.916667,26.333333
31,"OT",54,1,2,"Olt",2020-05-18,44.433333,24.316667
32,"PH",74,0,7,"Prahova",2020-05-18,44.95,26.016667
33,"SM",56,0,8,"Satu Mare",2020-05-18,47.8,22.883333
34,"SB",437,0,37,"Sibiu",2020-05-18,45.8,24.15
35,"SV",3134,4,189,"Suceava",2020-05-18,47.65,26.233333
36,"SJ",76,0,10,"Sălaj",2020-05-18,47.2,23.05
37,"TR",115,0,8,"Teleorman",2020-05-18,43.983333,25.333333
38,"TM",485,4,49,"Timiş",2020-05-18,45.749444,21.227222
39,"TL",110,0,1,"Tulcea",2020-05-18,45.166667,28.8
40,"VS",154,0,17,"Vaslui",2020-05-18,46.633333,27.733333
41,"VN",510,0,31,"Vrancea",2020-05-18,45.7,27.183333
42,"VL",31,0,2,"Vâlcea",2020-05-18,45.1,24.366667
