,_county_code,_total_county,_total_healed,_total_dead,_county,date,lat,long
0,AB,309,22,17,ALBA,2020-05-18,46.066666999999995,23.583333
1,AR,589,1,74,ARAD,2020-05-18,46.183333000000005,21.316667000000002
2,AG,259,0,20,ARGEȘ,2020-05-18,44.85,24.866667
3,BC,430,0,49,BACĂU,2020-05-18,46.566666999999995,26.916025
4,BH,504,0,19,BIHOR,2020-05-18,47.066666999999995,21.933332999999998
5,BN,290,0,24,BISTRIȚA-NĂSĂUD,2020-05-18,47.133333,24.483333
6,BT,634,0,42,BOTOȘANI,2020-05-18,47.75,26.666666999999997
7,BV,555,0,41,BRAȘOV,2020-05-18,45.266667,27.983333000000002
8,BR,20,0,0,BRĂILA,2020-05-18,45.633333,25.583333
9,B,1332,3,74,BUCUREȘTI,2020-05-18,44.433333000000005,26.1
10,BZ,119,0,0,BUZĂU,2020-05-18,45.15,26.833333000000003
11,CS,103,4,6,CARAȘ-SEVERIN,2020-05-18,44.2,27.333333000000003
12,CJ,455,1,15,CLUJ,2020-05-18,45.300833000000004,21.889167
13,CT,210,2,15,CONSTANȚA,2020-05-18,46.766667,23.6
14,CV,214,0,9,COVASNA,2020-05-18,44.183333000000005,28.65
15,CL,70,0,3,CĂLĂRAȘI,2020-05-18,45.866667,25.783333
16,DJ,150,0,3,DOLJ,2020-05-18,44.316666999999995,23.8
17,DB,254,6,10,DÂMBOVIȚA,2020-05-18,44.933333000000005,25.45
18,GL,494,0,81,GALAȚI,2020-05-18,45.45,28.05
19,GR,187,0,4,GIURGIU,2020-05-18,43.883333,25.966667
20,GJ,99,1,7,GORJ,2020-05-18,45.05,23.283333
21,HR,68,0,0,HARGHITA,2020-05-18,46.35,25.8
22,HD,595,3,68,HUNEDOARA,2020-05-18,45.75,22.9
23,IL,316,0,20,IALOMIȚA,2020-05-18,44.566666999999995,27.366667
24,IS,386,1,26,IAȘI,2020-05-18,47.166667,27.6
27,MM,68,1,3,MARAMUREȘ,2020-05-18,46.55,24.566667000000002
28,MH,94,0,12,MEHEDINȚI,2020-05-18,46.916667,26.365815
29,MS,632,0,61,MUREȘ,2020-05-18,44.433333000000005,24.366667
30,NT,787,0,44,NEAMȚ,2020-05-18,44.95,26.016667
31,OT,54,1,2,OLT,2020-05-18,47.2,23.05
32,PH,74,0,7,PRAHOVA,2020-05-18,47.8,22.883333
33,SM,56,0,8,SATU MARE,2020-05-18,45.8,24.15
34,SB,437,0,37,SIBIU,2020-05-18,47.65,26.233333000000002
35,SV,3134,4,189,SUCEAVA,2020-05-18,43.983333,25.333333
36,SJ,76,0,10,SĂLAJ,2020-05-18,45.749444,21.227222
37,TR,115,0,8,TELEORMAN,2020-05-18,45.166667,28.8
38,TM,485,4,49,TIMIȘ,2020-05-18,46.633333,27.733333000000002
39,TL,110,0,1,TULCEA,2020-05-18,45.7,27.183333
40,VS,154,0,17,VASLUI,2020-05-18,45.1,24.366667
41,VN,510,0,31,VRANCEA,2020-05-18,,
42,VL,31,0,2,VÂLCEA,2020-05-18,,
